OrderID,Month,Quarter,State,CustomerName,Category,SubCategory,PaymentMode,Quantity,Amount,Profit
ORD-1000,July,Qtr 3,Madhya Pradesh,Vishakha,Furniture,Bookcases,EMI,5,-757625.1900000001,169.77
ORD-1001,September,Qtr 3,Maharashtra,Madhav,Clothing,Saree,COD,181,529.8,-82.8
ORD-1002,August,Qtr 3,Madhya Pradesh,Surabhi,Furniture,Bookcases,Debit Card,9,8275.68,-3701.1600000000003
ORD-1003,August,Qtr 3,Uttar Pradesh,Surabhi,Electronics,Electronic Games,COD,7,5881.75,177.74
ORD-1004,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Saree,COD,7,4177.01,-177.12
ORD-1005,August,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,COD,8,8289.82,-783.87
ORD-1006,July,Qtr 3,Maharashtra,Ayush,Furniture,Bookcases,COD,10,13854.52,280.82
ORD-1007,July,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,COD,4,5092.27,-791.13
ORD-1008,July,Qtr 3,Maharashtra,Madhav,Clothing,Saree,Credit Card,5,4767.05,-175.12
ORD-1009,September,Qtr 3,Maharashtra,Ayush,Clothing,Accessories,UPI,4,4680.7,-155.27
ORD-1010,August,Qtr 3,Maharashtra,Surabhi,Clothing,Saree,COD,9,11062.14,-74.51
ORD-1011,July,Qtr 3,Kerala,Surabhi,Furniture,Tables,EMI,6,8057.11,488.0
ORD-1012,September,Qtr 3,Madhya Pradesh,Ayush,Furniture,Bookcases,COD,7,5374.19,205.49
ORD-1013,August,Qtr 3,Maharashtra,Surabhi,Clothing,Accessories,COD,8,7165.06,-187.18
ORD-1014,August,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,Debit Card,3,2239.88,-134.21
ORD-1015,September,Qtr 3,Maharashtra,Madhav,Clothing,Accessories,COD,6,4315.92,-199.63
ORD-1016,July,Qtr 3,Maharashtra,Vishakha,Electronics,Electronic Games,COD,1,1361.1,176.42
ORD-1017,September,Qtr 3,Uttar Pradesh,Vishakha,Electronics,Electronic Games,EMI,7,6171.34,598.06
ORD-1018,August,Qtr 3,Maharashtra,Vishakha,Clothing,Accessories,Debit Card,2,2363.42,-130.55
ORD-1019,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,COD,5,4673.83,-472.23
ORD-1020,August,Qtr 3,Madhya Pradesh,Surabhi,Electronics,Electronic Games,COD,9,12713.65,535.26
ORD-1021,September,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,COD,6,7575.06,-523.63
ORD-1022,August,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,Credit Card,8,4155.81,-189.36
ORD-1023,July,Qtr 3,Kerala,Vishakha,Clothing,Saree,Credit Card,4,5512.04,-192.04
ORD-1024,August,Qtr 3,Madhya Pradesh,Vishakha,Furniture,Tables,Debit Card,9,11392.51,164.2
ORD-1025,July,Qtr 3,Uttar Pradesh,Ayush,Clothing,Saree,Credit Card,9,12351.9,-113.47
ORD-1026,August,Qtr 3,Madhya Pradesh,Ayush,Electronics,Electronic Games,COD,7,10466.05,424.94
ORD-1027,September,Qtr 3,Maharashtra,Vishakha,Clothing,Accessories,COD,4,2898.79,-100.71
ORD-1028,July,Qtr 3,Madhya Pradesh,Surabhi,Furniture,Bookcases,COD,1,570.99,415.55
ORD-1029,September,Qtr 3,Maharashtra,Vishakha,Clothing,Saree,Debit Card,6,3425.14,-85.7
ORD-1030,September,Qtr 3,Madhya Pradesh,Surabhi,Furniture,Tables,Credit Card,9,5690.81,567.76
ORD-1031,July,Qtr 3,Maharashtra,Surabhi,Clothing,Accessories,Credit Card,8,10459.98,-78.56
ORD-1032,July,Qtr 3,Maharashtra,Ayush,Clothing,Accessories,COD,7,6377.72,-179.58
ORD-1033,July,Qtr 3,Madhya Pradesh,Vishakha,Furniture,Bookcases,COD,7,8597.5,500.3
ORD-1034,July,Qtr 3,Madhya Pradesh,Surabhi,Electronics,Electronic Games,UPI,4,4145.14,170.09
ORD-1035,September,Qtr 3,Madhya Pradesh,Madhav,Furniture,Tables,COD,4,5497.94,137.69
ORD-1036,July,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,COD,9,12024.25,-781.4
ORD-1037,July,Qtr 3,Madhya Pradesh,Madhav,Furniture,Bookcases,EMI,8,7850.87,532.33
ORD-1038,August,Qtr 3,Maharashtra,Madhav,Furniture,Bookcases,Debit Card,1,1485.31,232.6
ORD-1039,July,Qtr 3,Madhya Pradesh,Madhav,Clothing,Accessories,Debit Card,9,10456.84,-123.0
ORD-1040,September,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Accessories,Debit Card,1,1079.18,-131.33
ORD-1041,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,COD,1,1084.18,-501.71
ORD-1042,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Saree,Debit Card,9,5221.0,-77.87
ORD-1043,July,Qtr 3,Maharashtra,Surabhi,Clothing,Saree,COD,7,4339.21,-183.54
ORD-1044,August,Qtr 3,Madhya Pradesh,Vishakha,Electronics,Electronic Games,COD,7,8101.61,382.61
ORD-1045,September,Qtr 3,Madhya Pradesh,Surabhi,Furniture,Tables,UPI,6,4432.12,297.89
ORD-1046,July,Qtr 3,Madhya Pradesh,Madhav,Electronics,Electronic Games,EMI,6,8574.11,567.87
ORD-1047,July,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,UPI,2,2075.27,-125.88
ORD-1048,September,Qtr 3,Madhya Pradesh,Vishakha,Furniture,Tables,COD,4,3478.11,178.87
ORD-1049,July,Qtr 3,Maharashtra,Vishakha,Clothing,Accessories,COD,9,7194.41,-149.51
ORD-1050,August,Qtr 3,Kerala,Vishakha,Clothing,Accessories,COD,2,2484.83,-73.32
ORD-1051,September,Qtr 3,Maharashtra,Ayush,Clothing,Saree,EMI,4,4749.99,-177.94
ORD-1052,August,Qtr 3,Maharashtra,Ayush,Clothing,Accessories,Credit Card,1,592.3,-113.54
ORD-1053,August,Qtr 3,Uttar Pradesh,Vishakha,Furniture,Bookcases,COD,6,7626.72,418.56
ORD-1054,July,Qtr 3,Maharashtra,Madhav,Clothing,Saree,UPI,9,10851.01,-134.14
ORD-1055,September,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Saree,COD,9,4824.25,-105.38
ORD-1056,July,Qtr 3,Madhya Pradesh,Madhav,Furniture,Bookcases,UPI,3,1625.49,282.33
ORD-1057,September,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Accessories,UPI,4,4667.73,-103.05
ORD-1058,July,Qtr 3,Maharashtra,Surabhi,Furniture,Tables,COD,4,5458.42,588.1
ORD-1059,August,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,EMI,3,3709.69,-99.83
ORD-1060,July,Qtr 3,Madhya Pradesh,Ayush,Electronics,Electronic Games,COD,3,3862.12,154.05
ORD-1061,August,Qtr 3,Uttar Pradesh,Surabhi,Furniture,Tables,COD,4,5266.35,330.15
ORD-1062,August,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Saree,UPI,1,1160.03,-109.77
ORD-1063,September,Qtr 3,Madhya Pradesh,Ayush,Electronics,Electronic Games,COD,6,6848.89,299.84
ORD-1064,September,Qtr 3,Kerala,Vishakha,Clothing,Accessories,UPI,2,2754.08,-89.18
ORD-1065,August,Qtr 3,Madhya Pradesh,Vishakha,Electronics,Electronic Games,Credit Card,2,2193.14,272.84
